PeakID,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,S/N
0,69,0.2265,0.3736667,0.4714833,666.0601,2703.479736,9928.957031,67.98824
1,69,0.2547667,0.3736667,0.4714833,667.0625,1953.539673,7064.325195,30.09209
2,69,0.2265,0.3736667,0.5398167,668.0714,10863.02148,40288.84766,174.6004
3,69,0.2034167,0.3736667,0.5259833,669.0726,4988.378906,19160.69727,67.45164
4,69,0.2495,0.3736667,0.4714833,670.0733,1474.452637,5563.245117,120.8727
5,82,0.2495,0.3865,0.5259833,663.3227,2687.432861,12948.18848,53.38765
6,95,0.3382833,0.4,0.5069833,323.1022,1578.498657,7175.599609,11.21019
7,95,0.3329667,0.4,0.5069833,379.1649,7756.705566,34034.42969,96.20393
8,95,0.3329667,0.4,0.4873167,380.1674,1699.268433,7319.494141,8.45169
9,95,0.3223333,0.4,0.5259833,435.228,17809.19727,77045.45313,113.4291
10,95,0.2939,0.4,0.4873167,436.2312,4650.59375,20216.78711,103.8147
11,95,0.3329667,0.4,0.4873167,491.2908,88824.74219,372596.4063,1080.901
12,95,0.3329667,0.4,0.4714833,492.2936,25313.04688,106492.75,188.1024
13,95,0.2939,0.4,0.4714833,493.2951,4344.351074,17159.73438,26.62034
14,95,0.2317833,0.4,0.4873167,513.2703,2409.905029,11293.18457,33.89466
15,95,0.2992667,0.4,0.5069833,536.3467,3519.882813,14801.12402,64.46001
16,95,0.2495,0.4,0.44215,623.3818,2592.812988,10206.34277,61.44727
17,95,0.3276,0.4,0.4873167,624.3854,1120.790405,4844.353516,26.77289
18,95,0.1874167,0.4,0.60565,692.1381,1030.087646,4683.839844,17.79152
19,95,0.3045833,0.4,0.6183167,694.1352,21457.28516,95691.78125,580.1542
20,95,0.3276,0.4,0.5398167,695.1375,10541.5332,47262.48828,149.3949
21,95,0.2939,0.4,0.57965,696.1375,3273.638916,14886.99902,65.54367
22,121,0.3329667,0.4278167,0.5259833,487.1582,7048.130859,31175.40039,52.25998
23,121,0.2884333,0.4278167,0.5528167,488.1599,1968.943481,8755.273438,27.22718
24,121,0.2317833,0.4278167,0.5259833,599.283,4633.700684,20963.95117,29.10611
25,121,0.2265,0.4278167,0.5528167,600.2872,1666.886597,7617.359375,24.31132
26,121,0.12355,0.4278167,0.5398167,635.2098,1926.689941,8297.211914,26.90547
27,121,0.3382833,0.4278167,0.5259833,653.2967,2541.755127,13196.17969,62.17573
28,121,0.2265,0.4278167,0.5658166,781.3381,1294.160767,5833.176758,29.87628
29,121,0.2034167,0.4278167,0.57965,1006.621,17443.35352,74647.3125,734.7968
30,121,0.1129,0.4278167,0.5929833,1007.625,10916.27148,47911.77734,367.976
31,121,0.1076167,0.4278167,0.5528167,1024.612,1555.717773,6688.226074,58.43517
32,134,0.3489333,0.44215,0.6453,251.0457,1231.661011,7337.651367,3.293103
33,134,0.2265,0.44215,0.5398167,317.0452,2240.142334,11500.18164,10.8801
34,134,0.3045833,0.44215,0.5398167,339.1065,2874.994873,13205.82031,8.041389
35,134,0.3099167,0.44215,0.5259833,342.1127,1781.162354,7909.312012,8.278694
36,134,0.3613333,0.44215,0.6453,363.1713,18408.07031,95482.09375,99.60371
37,134,0.3329667,0.44215,0.57965,364.1742,4064.871826,20637.88477,25.60899
38,134,0.3489333,0.44215,0.6183167,419.2336,14879.6543,74394.29688,184.4939
39,134,0.3613333,0.44215,0.5528167,420.2363,3824.867676,19907.97656,86.13559
40,134,0.3276,0.44215,0.6453,475.2962,35455.95703,174110.0156,557.7101
41,134,0.2034167,0.44215,0.5528167,615.2725,1278.293213,6332.306152,19.33452
42,134,0.1129,0.44215,0.5398167,679.3411,1325.930786,6012.645996,31.77727
43,134,0.12875,0.44215,0.8362833,1022.617,4266.399902,19182.18164,150.2083
44,134,0.12355,0.44215,0.5658166,1054.601,1235.761108,5684.166992,44.68161
45,147,0.3223333,0.4566667,0.5398167,281.2254,6617.353027,26063.58203,32.32317
46,147,0.3489333,0.4566667,0.5398167,299.2361,9941.824219,39815.30859,653.0685
47,147,0.3329667,0.4566667,0.6318,307.1081,2936.908936,25826.82031,14.96822
48,147,0.3736667,0.4566667,0.5398167,319.2837,5816.31543,25164.8418,42.48273
49,147,0.3276,0.4566667,0.5259833,364.3151,1790.032349,8100.759766,123.8874
