mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,mzo,mzoscan,sn
394.9854232,394.9825809,394.9882559,94.934,91.204,98.694,1051.289393,1044.548393,224.0065002,394.9825809,151,94
318.9990888,318.9978304,319.0002791,165.969,160.389,170.848,7499.383169,7405.393379,1676.148682,318.999356,239,60
723.1734856,723.1699527,723.1762811,109.813,105.333,117.093,6234.04979,6222.280892,1132.197998,723.1723773,172,163
634.5677196,634.5615057,634.5698198,127.222,122.992,128.681,1110.939437,1106.063151,502.0891113,634.5698198,194,501
393.1100565,393.107005,393.1120498,283.02,278.91,287.969,9946.245299,9876.034019,1778.03894,393.109861,388,77
364.0473886,364.0437552,364.0521418,177.928,171.589,180.888,2018.04426,1945.990888,745.723938,364.0471347,256,27
413.0983881,413.0960296,413.1028449,157.399,143.76,162.829,19101.11447,19082.04547,1468.92627,413.0969822,233,1468
333.0853121,333.0839946,333.0865136,201.156,194.806,206.995,763.4388035,749.5608526,193.2798309,333.0839946,287,16
639.4707523,639.4674038,639.4777477,64.997,60.337,71.486,6864.904391,6814.731586,1456.515503,639.4674038,115,91
124.0381258,124.0372186,124.0391246,326.996,317.257,338.585,3223.190329,2529.490072,392.5342712,124.038091,442,8
140.0685029,140.0668986,140.0691763,248.233,236.753,257.292,2976.635798,2775.076963,355.2449341,140.0691763,346,15
142.1569822,142.155943,142.1587396,210.295,204.506,215.705,1336.167348,1297.356204,462.3149719,142.1571926,297,40
377.9631291,377.9605443,377.9654003,112.183,103.113,120.422,4930.939696,4780.782339,489.9613647,377.9627325,179,15
411.1191569,411.1182596,411.1205931,221.935,215.705,227.754,12008.07401,11584.37731,2514.727295,411.1186075,312,47
369.8054429,369.8014189,369.8059153,31.559,28.289,45.338,28506.44659,28501.33189,19833.32422,369.8059153,72,8815
379.1040927,379.1017019,379.1086233,167.499,160.389,173.098,1024.509557,943.3131334,228.6096191,379.1042097,245,8
525.270466,525.2663988,525.2734886,35.579,33.949,37.908,5167.808666,5149.998067,3174.956299,525.2734886,77,111
